user_id,channel,record_datetime,duration_hhmmss,gender,age,province,age_group,time_of_day,seconds_viewed
779442,Channel O,2016-01-22T14:13:00.000Z,1899-12-31T00:10:03.000Z,female,31,Free State,youth,Afternoon,603
939662,ICC Cricket World Cup 2011,2016-03-30T12:48:00.000Z,1899-12-31T00:02:10.000Z,male,23,Mpumalanga,youth,Afternoon,130
2359724,ICC Cricket World Cup 2011,2016-02-21T09:10:00.000Z,1899-12-31T00:05:38.000Z,male,36,Western Cape,adults,Morning,338
2359724,ICC Cricket World Cup 2011,2016-02-26T11:53:00.000Z,1899-12-31T00:00:00.000Z,male,36,Western Cape,adults,Morning,0
2359724,ICC Cricket World Cup 2011,2016-02-26T14:01:00.000Z,1899-12-31T00:02:36.000Z,male,36,Western Cape,adults,Afternoon,156
2359724,Supersport Live Events,2016-03-24T16:51:00.000Z,1899-12-31T00:30:06.000Z,male,36,Western Cape,adults,Afternoon,1806
2359724,SuperSport Blitz,2016-03-19T12:05:00.000Z,1899-12-31T00:05:44.000Z,male,36,Western Cape,adults,Afternoon,344
2359724,ICC Cricket World Cup 2011,2016-02-28T10:24:00.000Z,1899-12-31T00:01:50.000Z,male,36,Western Cape,adults,Morning,110
2359724,ICC Cricket World Cup 2011,2016-03-01T16:28:00.000Z,1899-12-31T00:00:40.000Z,male,36,Western Cape,adults,Afternoon,40
2359724,SuperSport Live Events,2016-02-13T17:53:00.000Z,1899-12-31T00:02:24.000Z,male,36,Western Cape,adults,Evening,144
2359724,SuperSport Live Events,2016-02-13T17:56:00.000Z,1899-12-31T00:01:22.000Z,male,36,Western Cape,adults,Evening,82
904173,Supersport Live Events,2016-03-25T08:20:00.000Z,1899-12-31T00:15:24.000Z,female,29,Mpumalanga,youth,Morning,924
904174,Cartoon Network,2016-03-26T12:38:00.000Z,1899-12-31T00:00:00.000Z,male,30,Limpopo,youth,Afternoon,0
904174,ICC Cricket World Cup 2011,2016-03-29T16:58:00.000Z,1899-12-31T00:04:42.000Z,male,30,Limpopo,youth,Afternoon,282
831766,Channel O,2016-03-03T15:46:00.000Z,1899-12-31T00:04:21.000Z,male,29,Gauteng,youth,Afternoon,261
