user_id,channel,record_datetime_utc,record_datetime_sast,month_sast,duration_hhmmss,gender,age,province,race,age_group,time_of_day,seconds_viewed,hours_viewed
850656,Africa Magic,2016-03-06T07:09:00.000Z,2016-03-06T09:09:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,26,Mpumalanga,black,youth,Morning,0,0.00
2368365,ICC Cricket World Cup 2011,2016-03-30T11:17:00.000Z,2016-03-30T13:17:00.000Z,2016-03,1899-12-31T00:38:12.000Z,male,27,Limpopo,coloured,youth,Afternoon,2292,0.64
764296,E! Entertainment,2016-02-04T08:42:00.000Z,2016-02-04T10:42:00.000Z,2016-02,1899-12-31T00:02:26.000Z,male,23,Western Cape,coloured,youth,Morning,146,0.04
764296,Trace TV,2016-02-01T20:10:00.000Z,2016-02-01T22:10:00.000Z,2016-02,1899-12-31T00:00:00.000Z,male,23,Western Cape,coloured,youth,Night,0,0.00
779373,CNN,2016-02-28T05:58:00.000Z,2016-02-28T07:58:00.000Z,2016-02,1899-12-31T00:06:27.000Z,male,40,Limpopo,black,adults,Morning,387,0.11
771793,Supersport Live Events,2016-01-05T21:33:00.000Z,2016-01-05T23:33:00.000Z,2016-01,1899-12-31T00:04:56.000Z,female,40,Western Cape,indian_asian,adults,Night,296,0.08
771793,Supersport Live Events,2016-01-10T04:43:00.000Z,2016-01-10T06:43:00.000Z,2016-01,1899-12-31T00:00:00.000Z,female,40,Western Cape,indian_asian,adults,Morning,0,0.00
771793,Trace TV,2016-02-18T20:23:00.000Z,2016-02-18T22:23:00.000Z,2016-02,1899-12-31T00:00:42.000Z,female,40,Western Cape,indian_asian,adults,Night,42,0.01
771793,Trace TV,2016-02-12T00:38:00.000Z,2016-02-12T02:38:00.000Z,2016-02,1899-12-31T00:02:33.000Z,female,40,Western Cape,indian_asian,adults,Night,153,0.04
1106084,Channel O,2016-03-22T18:50:00.000Z,2016-03-22T20:50:00.000Z,2016-03,1899-12-31T00:11:39.000Z,male,37,Gauteng,black,adults,Evening,699,0.19
1106084,Supersport Live Events,2016-03-05T17:30:00.000Z,2016-03-05T19:30:00.000Z,2016-03,1899-12-31T00:00:54.000Z,male,37,Gauteng,black,adults,Evening,54,0.02
1106084,ICC Cricket World Cup 2011,2016-03-06T09:20:00.000Z,2016-03-06T11:20:00.000Z,2016-03,1899-12-31T00:11:24.000Z,male,37,Gauteng,black,adults,Morning,684,0.19
1106084,Trace TV,2016-03-09T04:54:00.000Z,2016-03-09T06:54:00.000Z,2016-03,1899-12-31T00:03:24.000Z,male,37,Gauteng,black,adults,Morning,204,0.06
1106084,Channel O,2016-03-09T18:00:00.000Z,2016-03-09T20:00:00.000Z,2016-03,1899-12-31T00:04:39.000Z,male,37,Gauteng,black,adults,Evening,279,0.08
868895,Trace TV,2016-03-14T23:35:00.000Z,2016-03-15T01:35:00.000Z,2016-03,1899-12-31T00:13:48.000Z,male,23,Western Cape,coloured,youth,Night,828,0.23
868895,ICC Cricket World Cup 2011,2016-03-12T12:18:00.000Z,2016-03-12T14:18:00.000Z,2016-03,1899-12-31T00:38:02.000Z,male,23,Western Cape,coloured,youth,Afternoon,2282,0.63
868895,Trace TV,2016-03-12T12:19:00.000Z,2016-03-12T14:19:00.000Z,2016-03,1899-12-31T00:01:09.000Z,male,23,Western Cape,coloured,youth,Afternoon,69,0.02
868895,ICC Cricket World Cup 2011,2016-03-16T00:02:00.000Z,2016-03-16T02:02:00.000Z,2016-03,1899-12-31T00:02:00.000Z,male,23,Western Cape,coloured,youth,Night,120,0.03
868895,Channel O,2016-03-16T00:14:00.000Z,2016-03-16T02:14:00.000Z,2016-03,1899-12-31T00:03:18.000Z,male,23,Western Cape,coloured,youth,Night,198,0.06
808934,Supersport Live Events,2016-03-24T12:17:00.000Z,2016-03-24T14:17:00.000Z,2016-03,1899-12-31T00:12:40.000Z,male,36,Kwazulu Natal,indian_asian,adults,Afternoon,760,0.21
808934,Boomerang,2016-03-11T16:58:00.000Z,2016-03-11T18:58:00.000Z,2016-03,1899-12-31T00:05:30.000Z,male,36,Kwazulu Natal,indian_asian,adults,Evening,330,0.09
808934,Supersport Live Events,2016-02-06T06:56:00.000Z,2016-02-06T08:56:00.000Z,2016-02,1899-12-31T00:00:00.000Z,male,36,Kwazulu Natal,indian_asian,adults,Morning,0,0.00
808934,Trace TV,2016-02-06T10:38:00.000Z,2016-02-06T12:38:00.000Z,2016-02,1899-12-31T00:04:03.000Z,male,36,Kwazulu Natal,indian_asian,adults,Afternoon,243,0.07
808934,Supersport Live Events,2016-02-06T19:55:00.000Z,2016-02-06T21:55:00.000Z,2016-02,1899-12-31T00:03:38.000Z,male,36,Kwazulu Natal,indian_asian,adults,Night,218,0.06
808934,Trace TV,2016-03-06T12:38:00.000Z,2016-03-06T14:38:00.000Z,2016-03,1899-12-31T00:04:57.000Z,male,36,Kwazulu Natal,indian_asian,adults,Afternoon,297,0.08
808934,SuperSport Blitz,2016-02-12T17:16:00.000Z,2016-02-12T19:16:00.000Z,2016-02,1899-12-31T00:02:42.000Z,male,36,Kwazulu Natal,indian_asian,adults,Evening,162,0.05
808934,Supersport Live Events,2016-03-06T13:58:00.000Z,2016-03-06T15:58:00.000Z,2016-03,1899-12-31T00:01:02.000Z,male,36,Kwazulu Natal,indian_asian,adults,Afternoon,62,0.02
808934,Supersport Live Events,2016-03-06T14:00:00.000Z,2016-03-06T16:00:00.000Z,2016-03,1899-12-31T00:01:38.000Z,male,36,Kwazulu Natal,indian_asian,adults,Afternoon,98,0.03
808934,Supersport Live Events,2016-03-27T16:07:00.000Z,2016-03-27T18:07:00.000Z,2016-03,1899-12-31T00:01:30.000Z,male,36,Kwazulu Natal,indian_asian,adults,Evening,90,0.03
939592,Supersport Live Events,2016-03-27T14:51:00.000Z,2016-03-27T16:51:00.000Z,2016-03,1899-12-31T00:17:32.000Z,male,34,Western Cape,coloured,youth,Afternoon,1052,0.29
771796,SuperSport Blitz,2016-02-05T15:17:00.000Z,2016-02-05T17:17:00.000Z,2016-02,1899-12-31T00:27:14.000Z,male,35,Western Cape,coloured,youth,Evening,1634,0.45
771796,Supersport Live Events,2016-03-24T10:46:00.000Z,2016-03-24T12:46:00.000Z,2016-03,1899-12-31T00:02:28.000Z,male,35,Western Cape,coloured,youth,Afternoon,148,0.04
771796,Channel O,2016-02-06T16:10:00.000Z,2016-02-06T18:10:00.000Z,2016-02,1899-12-31T00:00:51.000Z,male,35,Western Cape,coloured,youth,Evening,51,0.01
771796,Supersport Live Events,2016-02-06T16:18:00.000Z,2016-02-06T18:18:00.000Z,2016-02,1899-12-31T00:00:18.000Z,male,35,Western Cape,coloured,youth,Evening,18,0.01
771796,Supersport Live Events,2016-03-27T16:58:00.000Z,2016-03-27T18:58:00.000Z,2016-03,1899-12-31T00:24:10.000Z,male,35,Western Cape,coloured,youth,Evening,1450,0.40
771796,Supersport Live Events,2016-03-26T17:00:00.000Z,2016-03-26T19:00:00.000Z,2016-03,1899-12-31T01:44:38.000Z,male,35,Western Cape,coloured,youth,Evening,6278,1.74
889840,Supersport Live Events,2016-03-20T20:18:00.000Z,2016-03-20T22:18:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,31,Mpumalanga,black,youth,Night,0,0.00
2368371,Supersport Live Events,2016-03-26T10:25:00.000Z,2016-03-26T12:25:00.000Z,2016-03,1899-12-31T00:08:12.000Z,male,44,Western Cape,coloured,adults,Afternoon,492,0.14
617535,Africa Magic,2016-01-11T20:08:00.000Z,2016-01-11T22:08:00.000Z,2016-01,1899-12-31T00:00:11.000Z,male,40,Gauteng,indian_asian,adults,Night,11,0.00
